id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
spirit,1,6,4,0.4795760801862943,0.006068043334773851,0.001316653086652067,0.006068043334773842,0.006068043334773842,3,spirit
hell,1,2,12,1.4695301737801918,0.10279136602927982,0.0031726130512141518,0.10279136602927977,0.10279136602927977,6,hell
separate,1,2,15,2.341861906306653,0.30580579037561695,0.003609989910294295,0.305805790375617,0.305805790375617,11,separate
feel,1,1,29,3.4864696955167105,0.2005373742791329,0.004997399710864698,0.20053737427913298,0.20053737427913298,13,feel
bad,1,4,14,1.6812925857922496,0.10120954122833609,0.002642981951504747,0.10120954122833616,0.10120954122833616,11,bad
sundai,1,6,5,0.6154256418156937,0.0060451737944095685,0.0014774827619503507,0.006045173794409573,0.006045173794409573,4,sundai
effort,1,1,8,1.042593791761481,0.04316223581730665,0.001861342815132014,0.043162235817306646,0.043162235817306646,7,effort
station,1,6,15,2.186340722559442,0.09454103451331063,0.003288172983262322,0.0945410345133108,0.0945410345133108,11,station
care,1,5,10,1.2642105057948994,0.016119924376882065,0.002586467845344919,0.016119924376882065,0.016119924376882065,7,care
division,1,3,4,0.5792481585005105,0.01487722730365072,0.0013760568308099712,0.014877227303650748,0.014877227303650748,4,division
body,1,2,4,0.4667820425212552,0.0073859693944779,0.0012610328161013283,0.007385969394477868,0.007385969394477868,4,body
beat,1,5,6,0.896717287266024,0.025721894611682075,0.0019375745651978023,0.025721894611682047,0.025721894611682047,4,beat
trouble,1,5,7,0.8867629692991053,0.05130365619749605,0.0018696976519840742,0.051303656197496036,0.051303656197496036,5,trouble
allow,1,3,10,1.305535966426195,0.019340555847052424,0.0024404504172418303,0.019340555847052413,0.019340555847052413,7,allow
line,1,4,8,1.1811475406911396,0.022603691808595658,0.002214209894814763,0.022603691808595686,0.022603691808595686,7,line
peace,1,2,6,0.8041955573446258,0.04218468172130894,0.001511825095143287,0.04218468172130894,0.04218468172130894,6,peace
japan,1,7,3,0.9379094443631781,0.007074824414239954,0.0020749370708044,0.007074824414239947,0.007074824414239947,3,japan
respect,1,2,8,0.9225010881663432,0.07382413340094278,0.0018547721736896575,0.07382413340094279,0.07382413340094279,7,respect
