source,target,weight
negro,soldier,0.12196918534511453
lynch,suppose,0.12195875323734122
carry,mind,0.12190277612486039
negro,fair,0.12185849416692228
german,build,0.12174561685950815
doctor,hurt,0.12174561685950815
pay,bui,0.12167402943126805
combat,learn,0.1216544425850254
hous,come,0.12160446700717525
paper,protect,0.12160446700717525
return,protect,0.12160446700717525
black-man,chance,0.12156653894144234
fall,die,0.12125314039167003
service,army,0.12123961957225676
creed,free,0.12121652936100616
white-man,chance,0.12120496554911103
morale,practice,0.12119057283098356
air,volunteer,0.12118075842786392
discrimination,enlist,0.12115196239796096
marry,home,0.12110999753202496
south,race,0.12100236992174859
enemies,brother,0.12099893464886602
oversea,enemies,0.12090962602926424
texas,sgt,0.12085308056872039
month,day,0.12084571375113758
north,people,0.12078511010803039
day,time,0.12077727089206207
creat,prejudice,0.12072815606171125
transport,soldier,0.12069857671757366
white,military-police,0.12067432256412075
war,world,0.12062969600446509
service,outfit,0.12062516847051959
civilian,army,0.1206096332193871
german,discrimination,0.12056681240150059
morale,soldier,0.12041864489471378
sign,post,0.12038817037027034
white,hate,0.12027927949531353
god,free,0.12024298222484409
white-man,hate,0.1202249871356496
texas,stay,0.12019357997416065
negro,separate,0.12006020570955432
pray,body,0.12002965577103634
proud,glad,0.12002965577103634
spirit,fellow,0.12002965577103634
month,rate,0.11999089947625285
black-man,hell,0.11995206957331159
race,discrimination,0.11988412430683183
unit,combat,0.11986104174067981
wait,fill,0.11981598251273504
improve,rule,0.11981598251273504
express,feel,0.11976900229168191
office,lot,0.11972416321514101
equal,realize,0.11961256472332073
day,tell,0.11955580536746621
duty,protect,0.11946822799196047
south,condition,0.11936100082913013
break,pick,0.11934287725375135
bus,line,0.11925120169928867
recreate,build,0.1192360124798034
force,receive,0.11923399168878113
serviceclub,theater,0.11922906294730327
qualify,rank,0.11922906294730327
combat,sea,0.11917627461485641
mean,treatment,0.11917627461485641
democracy,country,0.11917563566575541
beat,shoot,0.11911421250718024
free,world,0.11908044281601751
camp,texas,0.1189623100716133
furlough,day,0.11895784183574305
south,bad,0.11893220846473486
texas,walk,0.11883593738669243
washington,lynch,0.1188003755428367
war,color,0.11873949260319398
month,camp,0.11866917672076527
plenti,fine,0.11864608881115837
morale,build,0.11862556086000213
black-man,equal,0.11858597013756175
negro,train,0.1185639268918602
practice,post,0.11855645517013144
future,play,0.11832296008845138
hold,pick,0.11830214220297164
opinion,speak,0.11826362653717196
democracy,citizen,0.11822237836174919
color,creat,0.1181864417764215
sit,die,0.11810365682283001
opportunity,true,0.11806495522570679
equal,country,0.11802538460742965
office,train,0.11794570591845079
washington,send,0.11791629182280289
creat,nation,0.11782755413900696
soldier,post,0.11778024134171412
fight,speech,0.11776704542187284
law,take,0.11773901649228635
lord,close,0.11762857176475694
bus,train,0.1175493707659247
white,respect,0.1175292894232516
race,unit,0.11749347108356406
office,school,0.11748996962886679
south,govern,0.11745732247845699
creat,blood,0.11741727374915048
law,rule,0.11741727374915048
nation,lynch,0.11740825562389492
country,proud,0.11738538310595384
black-man,break,0.11737701637609088
love,heart,0.1173568810128968
month,family,0.11730696992229779
force,live,0.11729967028497108
negro,free,0.11728978872612272
white,morale,0.11716463605549708
soldier,treatment,0.1171589988140823
equal,privilege,0.11711863339523242
take,treatment,0.11705503504441724
country,chance,0.11704594780533434
country,free,0.11703697979284092
nation,suppose,0.1170018102529373
east,texas,0.1169746709793819
war,time,0.11694274804219623
hate,prejudice,0.1169348128428929
white,unit,0.11693394882133797
color,understand,0.11679965143634075
south,town,0.11679259426360135
black-man,sit,0.11674178824422095
company,tell,0.1167321737268503
teach,school,0.11669218699647009
east,run,0.11669165466412791
fall,unit,0.11660381205751562
win,victory,0.11652410518975116
command,nice,0.11643994334296688
treatment,concern,0.11642570313634402
poor,recreate,0.11640804737932514
air,train,0.11638900750020797
morale,feel,0.11635682733120566
fall,heart,0.11630989921507644
color,soldier,0.11627666479158931
north,troop,0.11624200678376746
negro,lieutenant,0.11617680372497212
white-man,treat,0.11615668956043745
service,town,0.11614819060722116
live,world,0.11609901050610223
marry,private,0.11609163095989945
marry,sea,0.11609163095989945
marry,short,0.11609163095989945
battle,sea,0.11609163095989945
hous,forget,0.11609163095989945
forget,happy,0.11609163095989945
paper,pick,0.11609163095989945
happy,short,0.11609163095989945
die,blood,0.11603286374708494
allow,protect,0.11601295877390147
black-man,poor,0.11600959234561377
time,night,0.11597688719528956
town,poor,0.11592156582665923
chance,job,0.11584140854606174
camp,train,0.11575751697532524
military-police,volunteer,0.11575721210162788
camp,day,0.11574823722392473
feel,serve,0.1157316357604681
german,fight,0.11569973524914362
army,farm,0.11569330872989726
fall,victory,0.11565276340779215
north,lieutenant,0.11564453565785954
family,oversea,0.11556796679620011
day,week,0.11548723744084838
white,civilian,0.1154865636692933
people,break,0.11536578310978313
allow,privilege,0.11535666006180884
money,take,0.11525561195071557
break,civil,0.11513223459768553
black-man,bad,0.11512214277545842
white,dog,0.11499623502635589
equal,citizen,0.11484554883924993
color,stop,0.11483298064551065
plant,farm,0.11481730724641279
bear,fellow,0.11481730724641279
color,post,0.11466563243423739
democracy,protect,0.11455155844706288
black-man,prejudice,0.1145004444914478
war,lose,0.11445271285729898
boy,spirit,0.11445248033587341
fair,break,0.11442863299642417
commissioned,ability,0.11442333523749294
force,south,0.1144122774769172
night,rest,0.11439962272034772
people,democracy,0.11433162704973718
discrimination,segregation,0.11429522766690832
train,troop,0.1142415489965816
office,talk,0.11423408282720066
south,hard,0.11422318101262231
sit,front,0.11412180402885191
equal,serve,0.11410159146512593
fight,nation,0.11409853403091734
fight,front,0.11408874140383281
camp,boy,0.11406512427329103
month,train,0.11402566677052213
bus,treat,0.11400747107861513
month,time,0.11395346370364176
care,take,0.11394466759492634
god,trust,0.11391386308753212
woman,improve,0.11387852976599204
life,home,0.11387047196079735
close,bring,0.11386285912877409
negro,democracy,0.11381483475932606
field,duty,0.11375666450530013
take,suppose,0.11371794948860661
equal,fight,0.11365539884213988
furlough,train,0.11365053631776129
marry,health,0.11356876986977357
battle,rank,0.11356876986977357
rank,division,0.11356876986977357
share,return,0.11356876986977357
black-man,hard,0.11353024490809782
proud,spend,0.11346599346599347
lord,hous,0.11345023003260885
mechanic,sgt,0.1134164407954826
hospital,sgt,0.1134164407954826
citizen,land,0.11329505391091592
live,civil,0.1132893635922359
battle,suppose,0.11317932897102516
enlist,improve,0.11314528821509709
black-man,respect,0.11313286430390701
ability,choose,0.1131144865910826
ability,leader,0.1131144865910826
uniform,seat,0.11297254812527129
money,free,0.11293276372409532
color,lieutenant,0.11289384969874715
fight,suppose,0.11287059233912791
child,age,0.11282209880789568
south,station,0.11280984233880612
duty,outfit,0.11271904503437113
democracy,call,0.11265829700260259
commissioned,private,0.1126290803426339
race,civil,0.11253437416368063
military-police,police,0.11251526237012933
color,poor,0.11246046784366437
war,love,0.11242541074144113
army,fair,0.11237642485988056
white,god,0.11236517344727277
service,farm,0.11236241263022392
home,hard,0.11229096014558936
bus,bad,0.11225169201698498
walk,tell,0.1122279025570044
south,chance,0.11215780876900057
negro,black,0.11212960100224076
south,poor,0.1120390897415265
god,day,0.11199314046939948
future,due,0.11198576825517595
money,spend,0.1119660012665061
wear,democracy,0.11174391780590084
democracy,return,0.11174391780590084
bus,post,0.11174223739016824
bus,post-exchange,0.11166479971354418
age,army,0.11165624320521554
color,live,0.11164943218491459
person,peace,0.1116196494793364
wife,money,0.11160652328715123
negro,share,0.11156331577785991
race,die,0.11153603893658733
branch,ability,0.11147302260017443
civilian,return,0.11143099476705152
white,kill,0.11135695276734835
life,give,0.11135557983015043
receive,treatment,0.1113494877478446
uniform,die,0.1113158066682414
negro,hate,0.1113063274479206
south,train,0.11130259459700749
job,feel,0.1113025460880519
creed,world,0.11126103673505881
break,black,0.11126103673505881
military,matter,0.11123225208445052
