id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
hope,hope,1,5,2,6,0.7220452478618923,0.08882529377922864,0.0038756406776544964,0.0888252937792286,0.0888252937792286,5
give,give,1,4,1,11,1.396893476237427,0.18210470162806547,0.006274568931879857,0.18210470162806522,0.18210470162806522,6
noncom,noncom,1,3,3,8,1.0082835526178824,0.09869100933344171,0.004851880744666526,0.0986910093334417,0.0986910093334417,6
hard,hard,1,6,3,10,1.1937777338949345,0.10363698805340284,0.005883433210764196,0.10363698805340282,0.10363698805340282,6
polit,polit,1,3,3,5,0.6253452979275259,0.05217310708028499,0.0034734137105544944,0.052173107080284935,0.052173107080284935,5
class,class,1,1,6,9,1.2456328587430665,0.15998891036010332,0.005263962531815977,0.15998891036010343,0.15998891036010343,7
mind,mind,1,4,1,7,0.7987235604671494,0.15726564050692854,0.003991029604972429,0.15726564050692857,0.15726564050692857,6
duty,duty,1,4,1,14,1.7232915791742487,0.27741098706435086,0.007350216786452846,0.2774109870643512,0.2774109870643512,7
wrong,wrong,1,4,1,6,0.7177191901793634,0.0991643056817052,0.003731149687348679,0.09916430568170516,0.09916430568170516,5
take,take,1,7,1,5,0.5790514473511164,0.07936171593126945,0.003331320866917227,0.07936171593126946,0.07936171593126946,5
hold,hold,1,3,3,7,0.8411608061072099,0.09267243448358245,0.004345699954299463,0.09267243448358242,0.09267243448358242,6
world,world,1,5,2,6,0.7552191012519507,0.11874546999786324,0.003836253224982772,0.11874546999786346,0.11874546999786346,5
pay,pay,1,5,2,7,0.9314432211548156,0.13879535420666897,0.004510247566500474,0.13879535420666897,0.13879535420666897,6
test,test,1,4,1,8,0.9647329056591023,0.11365250991543606,0.005338892824369282,0.1136525099154361,0.1136525099154361,5
run,run,1,3,3,7,0.8623715179593624,0.12394954504166493,0.004279964389764275,0.12394954504166511,0.12394954504166511,6
person,person,1,3,3,9,1.0894257822724924,0.11847087893475299,0.005160111074086135,0.11847087893475299,0.11847087893475299,6
ship,ship,1,6,7,5,0.5979706771690492,0.06267323470252945,0.0034131054416159986,0.06267323470252938,0.06267323470252938,4
unit,unit,1,4,1,6,0.8013428001743009,0.08892278106039073,0.004082143518505968,0.08892278106039067,0.08892278106039067,5
draft,draft,1,2,4,12,1.5690766237801443,0.21746287486222818,0.0066669358333314634,0.21746287486222837,0.21746287486222837,6
govern,govern,1,5,2,5,0.6762271771646758,0.09380671098646683,0.0034323320851824463,0.09380671098646688,0.09380671098646688,5
damn,damn,1,7,4,3,0.3430217316754965,0.03778704846530918,0.003523744914446866,0.03778704846530913,0.03778704846530913,2
tell,tell,1,7,4,8,0.9578293187937192,0.08641813666619326,0.004946300406619166,0.08641813666619326,0.08641813666619326,5
